title,rating,num_reviews,num_published_lectures,last_update_date,duration_hours,num_subscribers,headline,technologies,days_since_last_update
"Build an app with React, Redux and Firestore from scratch",4.855466,1735,226,2021-10-31,24.0,11330,"Learn how to build a web app with React, Redux and Firestore from beginning to publishing",React,1279
Data Manipulation in Python: A Pandas Crash Course,4.5526934,1714,57,2021-04-27,9.0,38803,"Learn how to use Python and Pandas for data analysis and data manipulation. Transform, clean and merge data with Python.",Python,1466
SQL Course For Beginners: Learn SQL Using MySQL Database,4.5484033,1702,76,2020-04-13,5.0,10504,"Learn SQL From Scratch Using MySQL Databases, A Complete SQL Course For Beginners","SQL, MySQL",1845
JavaScript & jQuery - Certification Course for Beginners,4.2439547,1701,81,2019-06-15,25.0,202474,"Add Animated, Dynamic, Client-Side Functionality to your Web Pages using JavaScript & jQuery",JavaScript,2148
Master CMake for Cross-Platform C++ Project Building,4.318288,1697,46,2022-01-20,35.0,11367,Learn the most powerful and recommended way of building the C++ projects,C++,1198
QC101 Quantum Computing & Intro to Quantum Machine Learning,4.557508,1696,284,2023-01-20,12.0,16077,"Math-Based Introduction to Quantum Computing, Cryptography & Quantum Machine Learning. Code with Python, Q#, & Qiskit",Machine Learning,833
Git from Basics to Advanced: Practical Guide for Developers,4.3531723,1695,24,2022-10-20,35.0,162649,Learn Git from basics to advanced level. During the course we will create our own project that we will manage with Git,Git,925
Node.js for Beginners - Become a Node js Developer + Project,4.5381556,1691,203,2020-04-29,23.0,15513,Build an Amazing CMS system - Using Express + MongoDB + Bootstrap - Handlebars + Authentication + AJAX + Deployment,Node.js,1829
Mastering TypeScript - 2023 Edition,4.7497725,1685,142,2022-12-22,105.0,27184,Learn the world's fastest growing programming language from scratch. Includes Webpack &amp; React!,TypeScript,862
Selenium WebDriver and Java - Learn Automation with Selenium,4.4190273,1686,426,2022-09-15,39.0,25987,"Selenium webdriver and Java. Learn Automation Testing with Selenium &amp; Java. Build Automation - Selenium, Junit &amp; TestNG.",Java,960
JavaScript for Beginners - The Complete introduction to JS,4.3131666,1673,30,2022-12-05,4.0,171327,Learn all the Basics of JavaScript and create various basic JavaScript programs and applications,JavaScript,879
Learn Go for Beginners Crash Course (Golang),4.68723,1672,101,2021-08-30,115.0,13680,Master the Go Programming Language Step by Step - No previous programming experience required.,Go,1341
Learn Python for Data Science & Machine Learning from A-Z,4.065137,1671,140,2021-10-01,23.0,112554,"Become a professional Data Scientist and learn how to use NumPy, Pandas, Machine Learning and more!","Python, Machine Learning, Data Science",1309
How to Program Voxel Worlds Like Minecraft with C# in Unity,4.364106,1659,128,2022-07-29,185.0,10129,A comprehensive guide to blocky mesh building for procedurally-generated worlds updated for Unity 2020+.,C#,1008
Javascript for Beginners,4.3476915,1650,70,2023-01-12,75.0,25817,Learn javascript online and supercharge your web design with this Javascript for beginners training course.,JavaScript,841
Become a Professional Python Programmer,4.445005,1649,337,2021-10-28,395.0,14377,Learn all the important skills Python programmers need to get all the best programming jobs,Python,1282
Java Programming - A Complete Java course to Become Java Ace,4.5266857,1646,78,2021-12-29,9.0,16681,Go from Beginner to Java Expert in Just 7 Days! Crack your next Java Coding Interview by Mastering in Java programming,Java,1220
Database Design and MySQL,4.374277,1638,100,2015-03-25,10.0,63121,"Database Design, MySQL Fundamentals and more advanced programming concepts.  Learn how to program banks, libraries, etc.",MySQL,3691
More than Certified in Terraform,4.737474,1637,131,2022-03-18,125.0,15264,"Learn Terraform Using GitHub, Docker, AWS, Kubernetes, and more!",Terraform,1141
"Docker, From Zero To Hero: Become a DevOps Docker Master",4.3234167,1634,98,2020-05-10,10.0,16752,Become a Docker DevOps Master by learning from scratch the technology that is changing the world with containers!,Docker,1818
Go (Golang) Programming: The Complete Go Bootcamp 2023,4.4151697,1633,242,2022-12-20,195.0,17090,Become a Pro Go Programmer: Learn Golang from Scratch with Hands-On Projects and Real-World Applications,Go,864
Running a Web Development Business: The Complete Guide,4.4135857,1630,99,2023-01-24,195.0,34923,Learn how to start and grow a successful web development business. Get up & running and making sales in under a week.,Web Development,829
Advanced Selenium WebDriver with Java and TestNG,4.5933514,1629,51,2022-06-16,45.0,13901,Real-world example of Advanced Selenium WebDriver test automation framework with Java and TestNG | Selenium tutorial,Java,1051
One Week Python,4.795565,1625,190,2022-12-22,145.0,20933,"A Quick and Effective Way To Learn Python, Made For Busy People",Python,862
Build NodeJS applications with Mongodb,4.607489,1622,59,2018-09-12,45.0,26064,"Learn to build fullstack web applications with the most popular server side framework, NodeJS",MongoDB,2424
Complete Microsoft SQL Server Database Design Masterclass,4.620484,1623,58,2022-12-30,85.0,149981,Database Design | SQL Server | T-SQL | Database Tables | Foreign Keys | SQL CRUD | Views | Triggers | Stored Procedures,SQL,854
Learn Angular 2 from Beginner to Advanced,4.634542,1620,67,2017-01-06,10.0,116740,Learn how to develop web applications using Angular 2,Angular,3038
Jetpack Compose Crash course for Android with Kotlin,4.5482826,1622,94,2022-10-02,11.0,12001,"Modern Android apps with Jetpack Compose and  integrations: MVVM, Coroutines, ViewModel, LiveData, Retrofit, Navigation",Kotlin,943
Testing Ruby with RSpec: The Complete Guide,4.588417,1620,61,2022-08-19,75.0,21279,Master the art of test driven development (TDD) in Ruby using the RSpec Gem. No previous testing experience needed!,Ruby,987
The Ultimate Beginner's Guide to Django 1.11,4.631611,1614,83,2019-09-10,9.0,7012,Learn how to make and publish websites with Django and Python. We'll make three complete apps and publish one online.,Django,2061
A deep understanding of deep learning (with Python intro),4.780704,1612,265,2023-02-08,575.0,37400,"Master deep learning in PyTorch using an experimental scientific approach, with lots of examples and practice problems.",Python,814
Next.js Dev to Deployment,4.5877247,1611,79,2021-05-26,10.0,10701,Learn Next.js by building a music event website,Next.js,1437
"Selenium WebDriver 4, Cucumber BDD, Java & More! [NEW: 2023]",4.5580983,1610,227,2023-02-10,21.0,8018,"Full Automation Testing Bootcamp! Learn automation testing using Selenium Webdriver 4, Java, Cucumber BDD, TestNG &amp; More",Java,812
Using TypeScript with React,4.325855,1603,87,2021-09-27,135.0,13065,Learn how to use TypeScript to build React projects (including Next.js and Apollo GraphQL).,"TypeScript, React",1313
Microsoft SQL Server for Beginners | Crash Course,4.0513997,1601,15,2021-06-13,25.0,170500,Boot-camp for SQL Query Writing Skills | sql fundamentals for beginners | Database Crash course | Database Programming,SQL,1419
Full Stack Programming for Complete Beginners in Python,4.3763146,1597,81,2021-06-22,95.0,114342,"Programming for complete beginners in python, along with pyqt5, mongoDB and software engineering basics",Python,1410
Learn CSS - For Beginners,4.079433,1592,31,2019-04-25,2.0,184697,Learn to Work with Cascading Style Sheets,CSS,2199
Algorithms and Data Structures in C#: Complete Tutorial,3.7861986,1585,137,2020-07-16,155.0,14945,Learn data structures and algorithms in C# from A to Z. Pass coding interview. Learn unit testing and TDD in addition.,C#,1751
Build Data Visualizations with D3.js & Firebase,4.6942863,1584,107,2021-09-11,105.0,17941,"Learn how to use D3 (v5) & Firebase (Firestore) to create dynamic SVG data visualizations. Bar charts, pie charts...",Firebase,1329
The Complete NFT Web Development Course - Zero To Expert,4.363311,1582,248,2022-10-31,24.0,26333,Learn how to build an NFT Marketplace - Solidity And React - Truffle + Web3 for  NFTs (Non-Fungible-Tokens) - Blockchain,Web Development,914
Servlets and JSPs Tutorial: Learn Web Applications With Java,4.268399,1577,64,2016-04-18,10.0,18223,Learn how to create dynamic websites using the Java programming language with this java web application tutorial,Java,3301
Step-by-step HTML and CSS for Absolute Beginners,4.546407,1577,42,2016-07-09,4.0,9907,Learn how to code HTML5 + CSS3 to create your own website in this beginner-level course. No coding experience required!,"HTML, CSS",3219
AWS AppSync & Amplify with React & GraphQL - Complete Guide,4.440544,1575,102,2022-02-14,12.0,13246,Deploy a Serverless GraphQL & Next JS based Javascript application in the AWS Cloud using AWS AppSync and AWS Amplify,"React, AWS, GraphQL",1173
Kotlin for Android O Development: From Beginner to Advanced,3.81535,1573,191,2019-10-25,155.0,66791,Learn coding and designing Android apps with Kotlin while building real app examples like Instagram and Foursquare clone,Kotlin,2016
Python For Maya: Artist Friendly Programming,4.441653,1573,77,2017-03-15,8.0,9030,Learn to code with Python to work faster in Maya,Python,2970
How the Internet Works & the Web Development Process,4.2188716,1570,9,2019-07-04,37.0,156830,"Learn how the Internet Works - HTTP/HTTPS, Mail Delivery (SMTP), LAN, WAN, Network Basics & Firewalls",Web Development,2129
